Collection No.,Subfamily,L or R,LL,LI,LM,WI,WD,TP,TI,TD
39P62A,,R,35.31,28.8,32.85,21.1,21.73,12.24,17.29,15.52
40P62Aa,,L,32.37,26.03,29.73,19.48,19.59,11.2,15.71,14.06
50P62A,,L,36.18,28.01,33.06,21.72,21.52,12.67,18.71,15.2
6P63A,,R,33.21,26.85,31.19,17.3,16.8,11.85,16.3,14.41
7P63A,,L,16.86,22.44,26.43,16.55,27.78,9.36,14.93,12.07
16P63B,,R,29.44,23.33,28.43,18.27,17.81,10.11,16.26,13.97
38P63A,,L,33.04,26.62,30.12,18.45,17.93,11.52,17.16,15.04
44P63B,,R,30.7,26.56,30.55,17.9,19.49,11.12,17.29,14.33
32P65A,,L,31.7,24.55,29.41,18.35,20.34,9.02,16.83,10.83
45P65A,,R,33.1,26.61,30.93,20.55,19.66,11.87,16.64,13.93
62P65A,,L,23.85,26.43,30.32,18.59,19,12.04,16.65,
64P65A,,R,31.9,25.95,29.79,18.65,17.54,9.22,15.13,13.32
72P65A,,L,31.65,25.25,29.25,17.91,17.74,10.85,15.99,14.63
73P65A,,L,32.05,25.56,29.23,18.42,18.81,11.71,16.66,13.89
93P65A,,L,30.67,24.9,29.32,,16.87,9.52,16.51,
129P65A,,L,,24.61,29.21,15.93,17.74,,16,12.87
136P65A,,R,33.67,27.79,31.75,20.5,20.65,12.8,17.84,15.54
137P65A,,L,32.53,26.55,29.89,17.53,18.21,9.65,15.82,13.7
149P65A,,R,38.4,30.86,35.04,22.86,25.82,14.63,15.05,20.39
191P65A,,R,31.28,25.65,29.48,16.74,17.55,11.16,16.5,12.01
202P65A,,R,43.56,37.9,44.21,,28.51,18.23,24.24,
15P81A,,L,41.95,35.87,39,23.13,22.91,14,18.22,16.71
2P86A,,R,,25.07,31.34,,18.21,,14.94,12.66
1P98A,,R,32.43,26.04,29.68,19.29,18.52,12,16.6,14.37
1P99,,L,32.36,27.26,30.95,18.6,20,10.5,16.94,14.8
2P99A,,R,32.44,26.46,30.63,18.89,19.7,10.93,16.48,15.21
3P99,,R,33.78,27.27,29.93,20.43,20.27,11.47,18.48,
4P99,,L,37.6,30.61,35.28,22.54,22.66,13.17,19.12,16.97
11P99,,R,30.5,25.91,30.64,16.75,18.13,11.02,15.05,
15P99B,,L,36.14,28.6,33.14,21.78,21.86,12.47,19.37,
16P99A,,R,31.6,25.2,29.33,17.75,19.09,10.98,16.73,14.45
17P99A,,L,35.22,28.6,33.47,21.9,22.44,11.34,18.07,15.58
18P99A,,L,31.82,25.71,29.84,17.71,18.08,10.24,16.54,
19P99A,,R,48.93,38.66,44.6,25.09,28.33,16.2,23.15,
49P99A,,R,34.97,29.54,33.47,20.88,20.3,11.4,18.2,17.12
11P102A,,L,,44.55,48.35,26.48,,17.15,,
25P103A,,R,26.56,22.14,,14.55,15.33,7.82,13.1,
38P103A,,R,18.54,15.44,17.2,11.33,10.41,6.68,9.31,7.79
2P104A,,L,38.33,30.67,34.83,23.77,23.68,13.33,21.3,18.55
3P106A,,R,50.25,40.11,45.74,27.33,31.85,18.68,26,21.55
39P106,,R,31.7,25.82,29.9,17.54,17.58,8.71,16.07,
2P108A,,L,32.42,26.33,,,13.55,9.83,16.57,
18P108A,,R,42.85,37.24,40.73,,25.08,12.63,20.6,18.56
23P108A,,R,37.36,30.17,34.68,,22,13,18.13,
14P109A,,R,,,30.56,19.21,19.76,,15.95,15
77P109A,,L,33.59,28.16,32.3,,18.45,,16.3,
78P109A,,L,28.7,23.66,26.87,,15.51,,15.7,
79P109A,,R,34.82,28.67,33.36,22.07,21.56,,18.7,17.2
86P109A,,R,29.23,24.48,,,17.14,8.98,15.3,
1P110A,,L,33.35,27.63,31.31,19.04,19.6,11.4,17.35,
2P113A,,L,46.14,38.1,43.84,,26.94,14.53,,
3P113A,,L,30.2,24.2,27.78,18.6,18.96,9.52,15.68,14
11P206A,,L,47.4,39.61,45.17,,27.7,18.14,26.44,22.07
16P207A,,L,31.28,25.49,29.6,18,18.8,10.3,15.56,
26P207A,,R,47.09,37.34,43.83,26.51,29.71,17.1,24.39,
11P208A,,R,33.82,28.57,32.69,18.64,20.16,11.75,17.1,15.82
